Cell_id,Image_id,CD163_,CD31_CD34_,CD3_,CD44_,CD4_,CD68_,CD8_,CK5_6_,Cleaved_caspase3_,ER_,E_Cadherin_,FAP_,GATA3_,GranzymeB_,Her2_,Keratin8_18_,Ki67_,MCAM_,PD1_,PDGFRa_,PDGFRb_,PDL1_,Vimentin_,YAP1_,aSMA_,pSMAD2_,pSTAT3_,panKeratin_,Mask_id,
575,1,0,0,0.0113636,0.0681818,0,0,0,0,0,0,0.534091,0.0227273,0.0227273,0,0,0.181818,0,0.704545,0,0.0454545,0,0,0.261364,0.943182,0.181818,0.681818,0.704545,0.886364,1,
576,1,0,0,0.191489,0,0,0,0,0,0,0,0.765957,0.0212766,0,0,0.0425532,0.765957,0,0,0,0.340426,0.212766,0,0.659574,0.978723,0.489362,0,0.787234,1,1,
577,1,0,0,0,0,0,0,0,0,0,0,0,0.0357143,0,0,0,0,0,0,0,0,0.214286,0,0.928571,0.321429,0.464286,0,0,0,1,
578,1,0,0,0.144444,0.366667,0.0888889,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388889,0.0333333,0.2,0,0,0,1,
579,1,0,0,0,0,0,0,0,0,0,0,0.676471,0,0,0,0,1,0,0.117647,0,0,0.323529,0,0,0.970588,0,0.176471,0.147059,1,1,
580,1,0,0,0,0.771429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0571429,0,1,0.571429,0,0,0,0,1,
581,1,0,0,0,0,0.0327869,0,0,0,0,0,0.737705,0.0163934,0,0,0.442623,0.131148,0,0.262295,0,0.459016,0.114754,0,0.163934,0.786885,0.180328,0.245902,0.803279,1,1,
582,1,0,0,0.0697674,0,0,0,0,0,0,0,1,0.0930233,0,0,0.790698,0.953488,0,0.0581395,0,0.139535,0.709302,0,0.651163,0.930233,0.0697674,0,0.22093,1,1,
583,1,0,0,0.047619,0.952381,0.666667,0.142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,
584,1,0.0190476,0,0.628571,0.047619,0,0.4,0.609524,0,0,0,0,0,0,0,0,0,0,0.0761905,0,0,0,0,0.866667,0.12381,0.209524,0.209524,0.133333,0,1,
585,1,0.0188679,0.0943396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.660377,0,1,0.886792,0.169811,0.0566038,0.207547,0.0188679,1,
586,1,0,0,0,0,0.0283688,0,0,0,0,0,0.822695,0,0,0,0.234043,0.971631,0,0.163121,0,0.134752,0.0070922,0,0,0.950355,0,0.070922,0.397163,1,1,
587,1,0,0,0.0204082,0,0,0,0,0,0,0,1,0,0,0,0,0.44898,0,0,0,0.0612245,0,0,0.428571,0.979592,0,0.285714,0.469388,1,1,
588,1,0,0,0.162162,0,0,0,0,0,0,0,0.540541,0,0,0,0,0.135135,0,0.864865,0,0.0810811,0,0,0,0.783784,0.216216,0.810811,0.27027,0.918919,1,
589,1,0,0,0,0,0,0,0,0,0,0.0545455,0.236364,0,0,0,0.2,0.290909,0,0.709091,0,0.109091,0.0727273,0,0,0.636364,0.0363636,0.618182,0.254545,0.8,1,
590,1,0,0,0.0285714,0,0,0,0,0,0,0,0.314286,0,0,0,0,0.285714,0,0.971429,0,0.0285714,0,0,0,0.942857,0,0.742857,0.514286,0.857143,1,
591,1,0,0.00847458,0,0,0.110169,0.118644,0,0,0,0,0.101695,0.127119,0,0,0.00847458,0,0,0,0,0,0.245763,0,0.644068,0.322034,0.0932203,0.0254237,0.177966,0.0508475,1,
592,1,0,0,0.0102041,0,0,0,0,0,0,0,0.27551,0,0,0,0.0408163,0.785714,0.193878,0.489796,0,0.0816327,0.377551,0,0,0.887755,0.0102041,0.5,0.265306,0.969388,1,
593,1,0,0,0.0123457,0,0,0,0,0,0,0,0.518519,0,0,0,0,0.333333,0,0.419753,0,0,0.296296,0,0.802469,0.851852,0.135802,0.592593,0.320988,0.91358,1,
594,1,0,0,0,0,0,0,0.142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.857143,0.333333,0,0,0,0,1,
595,1,0,0,0.0571429,0,0,0,0,0,0,0,0.478571,0,0.05,0,0.107143,0.285714,0,0.528571,0.0857143,0.00714286,0.178571,0,0.278571,0.771429,0.107143,0.435714,0.207143,0.935714,1,
596,1,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0.8,0,0.3,0.333333,0.433333,0,0,0.0333333,1,
597,1,0,0,0.0175439,0.0526316,0,0,0,0,0,0,0.333333,0.842105,0,0,0,0.22807,0,0.403509,0,0.298246,0.894737,0,1,1,1,0.491228,0.385965,0.403509,1,
598,1,0,0,0.0327869,0,0,0,0,0,0,0,0,0.229508,0,0,0,0,0,0.459016,0,0,0.262295,0,0.901639,0.786885,0.114754,0.47541,0,0,1,
599,1,0,0,0,0,0.0285714,0,0,0,0,0.052381,0.457143,0,0,0,0.238095,0.280952,0,0.485714,0,0.0761905,0.0380952,0.0190476,0.0238095,0.804762,0.0047619,0.466667,0.57619,0.97619,1,
600,1,0,0,0.0208333,0,0,0,0,0,0.125,0,1,0,0,0,0.270833,0.979167,0,0.0104167,0,0.135417,0.260417,0.385417,0.125,0.989583,0,0.03125,1,1,1,
601,1,0,0,0.0181818,0,0.0181818,0,0,0,0,0,0.527273,0,0,0,0,0.381818,0.6,0.690909,0,0.236364,0,0,0,0.945455,0,0.672727,0.181818,0.763636,1,
602,1,0,0,0,0,0,0,0,0,0,0,0.645833,0,0,0,0.166667,0.458333,0.666667,0.770833,0,0.354167,0.0625,0,0.0416667,0.979167,0.0416667,0.791667,0.229167,0.791667,1,
603,1,0,0,0,0,0,0,0,0,0,0,0.111111,0,0,0,0,0.37037,0,0.555556,0,0,0.037037,0,0.592593,0.666667,0.444444,0.592593,0,0.962963,1,
604,1,0,0,0.025641,0,0,0,0,0,0,0.0769231,0.752137,0.034188,0.0683761,0,0.128205,0.0683761,0,0.598291,0,0.00854701,0,0,0.435897,0.905983,0.0598291,0.581197,0.555556,0.991453,1,
605,1,0,0,0,0,0,0,0,0,0,0,0.555556,0,0,0,0.311111,0,0,0,0,0,0.222222,0,0.511111,0.555556,0,0.222222,0.111111,0.444444,1,
606,1,0,0.12963,0.111111,0,0.0648148,0,0,0,0,0,0,0.333333,0,0,0,0,0,0,0,0,0.407407,0,0.898148,0.944444,0.833333,0.111111,0.0277778,0,1,
607,1,0,0,0,0,0,0,0,0,0,0,0.565217,0,0,0,0,0,0,1,0,0,0.173913,0,0.0434783,1,0,0.782609,0.347826,1,1,
608,1,0,0,0,0,0,0,0,0,0,0,0.363636,0.363636,0,0,0.227273,0,0,0.681818,0,0.318182,0.409091,0,0.545455,1,0.636364,0.727273,0.772727,1,1,
