Cell_id,Image_id,CD163_,CD31_CD34_,CD3_,CD44_,CD4_,CD68_,CD8_,CK5_6_,Cleaved_caspase3_,ER_,E_Cadherin_,FAP_,GATA3_,GranzymeB_,Her2_,Keratin8_18_,Ki67_,MCAM_,PD1_,PDGFRa_,PDGFRb_,PDL1_,Vimentin_,YAP1_,aSMA_,pSMAD2_,pSTAT3_,panKeratin_,Mask_id,
1089,1,0,0,0,0,0,0,0,0,0,0,0,0.107143,0,0,0,0.107143,0,0,0,0,0,0,0.678571,0.642857,0.0357143,0,0,0.285714,1,
1090,1,0,0.0277778,0,0.388889,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.694444,0,0.972222,0.972222,1,0,0,0,1,
1091,1,0,0.421053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.807018,0.0350877,0.157895,0.736842,0,1,1,0.789474,0.508772,0,0,1,
1092,1,0,0,0,0,0,0,0,0,0,0,0.381579,0,0.197368,0,0.671053,0.868421,0,0.763158,0,0.0263158,0.526316,0.118421,0,1,0,0.592105,0.394737,0.934211,1,
1093,1,0,0,0,0.267606,0,0.00704225,0,0,0,0,0,0.119718,0,0,0.0492958,0,0,0.450704,0.028169,0,0.429577,0,0.795775,0.676056,0.084507,0.429577,0.028169,0.105634,1,
1094,1,0,0,0,0,0,0,0,0,0,0,1,0,0.164835,0,0.747253,0.813187,0.021978,0.89011,0,0.241758,0.197802,0.043956,0,1,0,0.703297,0.373626,0.89011,1,
1095,1,0,0,0.140351,0.421053,0.77193,0.192982,0,0,0,0,0,0,0,0,0,0,0,0.157895,0,0,0,0,1,0.736842,0.122807,0,0.403509,0,1,
1096,1,0.103175,0,0.142857,0,0,0,0.261905,0,0,0,0,0.031746,0,0,0,0,0,0,0,0,0.0396825,0,0.674603,0,0.0793651,0,0,0,1,
1097,1,0,0,0,0.101942,0,0,0,0.00485437,0.00485437,0,0.941748,0,0.26699,0,0.941748,0.854369,0.0194175,0.15534,0,0,0.00970874,0.0291262,0.359223,0.956311,0,0,0,0.995146,1,
1098,1,0,0,0,0,0,0,0.0120482,0,0,0,0,0.120482,0,0,0,0,0,0,0,0,0.060241,0,0.626506,0.373494,0.0481928,0,0,0,1,
1099,1,0,0,0,0,0,0,0,0.103448,0,0,0.045977,0,0,0,0.321839,0.0229885,0,0,0,0,0,0,0,0.0344828,0.045977,0,0,0.885057,1,
1100,1,0,0,0,0,0,0,0,0.0361011,0.0361011,0.0108303,0.981949,0.0433213,0.617329,0,0.960289,0.974729,0,0.404332,0.0108303,0.144404,0.162455,0.469314,0.104693,0.99639,0.0794224,0.202166,0.566787,0.98917,1,
1101,1,0,0.785714,0,0.0164835,0,0,0,0,0,0,0,0.0989011,0,0,0,0,0,0.318681,0.0769231,0.010989,0.967033,0,1,0.989011,0.741758,0,0,0,1,
1102,1,0,0,0.363636,0,0.322314,0,0.0661157,0,0,0,0,0.0826446,0,0,0,0,0,0,0,0,0.0909091,0,0.289256,0.165289,0,0,0,0,1,
1103,1,0,0,0.842105,0,0,0,0.236842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1104,1,0,0,0.324074,0.037037,0.194444,0,0,0,0,0.037037,0.157407,0.0833333,0,0,0,0,0,0.185185,0,0,0.0462963,0,0.462963,0.481481,0,0.185185,0.0833333,0.314815,1,
1105,1,0,0.873239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.549296,0.0704225,0,0.028169,0,1,1,0.15493,0.408451,0.0704225,0,1,
1106,1,0,0,0,0.00869565,0,0,0,0.173913,0,0,0.834783,0.104348,0,0,0.504348,0.956522,0.0608696,0.756522,0,0.0956522,0,0.46087,0.13913,1,0,0.121739,0.678261,1,1,
1107,1,0,0,0,0,0,0,0,0,0,0,0.678571,0,0.15,0,0.728571,0.557143,0.507143,0.314286,0,0,0.114286,0.00714286,0.00714286,0.814286,0,0.285714,0.0142857,0.964286,1,
1108,1,0,0.7,0.05,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7,0,1,1,0.75,0.85,0,0,1,
1109,1,0.232877,0,0.0410959,0,0.369863,0.123288,0,0,0.369863,0,0,0,0,0,0,0,0,0.109589,0,0.0410959,0.0684932,0,0.931507,0.315068,0,0.123288,0.0821918,0,1,
1110,1,0.493671,0,0.0253165,0,0,0.21519,0,0,0.101266,0,0,0,0,0.0253165,0,0,0,0,0,0,0,0,0.291139,0,0,0,0,0,1,
1111,1,0,0,0,0.0265487,0,0,0,0.106195,0,0,0.752212,0.176991,0.327434,0,0.831858,0.415929,0.353982,0.265487,0,0,0.0353982,0.0619469,0.256637,0.840708,0,0.221239,0,0.920354,1,
1112,1,0,0,0.0111111,0.322222,0.2,0.122222,0,0,0.0555556,0,0.0333333,0,0,0,0,0,0,0.722222,0,0.0888889,0.1,0,0.988889,0.755556,0.344444,0.0666667,0.544444,0,1,
1113,1,0,0,0.123188,0.586957,0.565217,0.0217391,0.0869565,0,0,0,0,0.0217391,0,0,0,0,0,0.0289855,0,0,0,0,0.608696,0.42029,0,0,0.0362319,0,1,
1114,1,0,0,0,0,0.125984,0.251969,0,0,0,0,0,0,0,0,0,0,0,0.0944882,0,0,0.0393701,0,0,0,0,0.00787402,0.023622,0,1,
1115,1,0,0.609756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365854,0,0,0,0,1,0.926829,0,0,0.097561,0,1,
1116,1,0,0,0.4,0.3,1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0.55,0,0,0.5,0,1,
